latex,編碼,符號,點字,來源,count
\ominus,2296,⊖,⠫⠉⠸⠫⠤⠻,self,1
\otimes,2297,⊗,⠫⠉⠸⠫⠈⠡⠻,self,2
,2298,⊘,⠫⠉⠸⠫⠸⠌⠻,ctb,1
\odot,2299,⊙,⠫⠉⠸⠫⠡⠻,self,2
,229A,⊚,⠫⠉⠸⠫⠨⠡⠻,ctb,1
,229B,⊛,⠫⠉⠸⠫⠈⠼⠻,ctb,1
,229C,⊜,⠫⠉⠸⠫⠨⠅⠻,ctb,1
,229D,⊝,⠫⠉⠸⠫⠤⠤⠻,ctb,1
,229E,⊞,⠫⠲⠸⠫⠬⠻,ctb,1
\boxminus,229F,⊟,⠫⠲⠸⠫⠱⠻,self,1
\boxtimes,22A0,⊠,⠫⠲⠸⠫⠢⠈⠔⠻,self,1
\boxdot,22A1,⊡,⠫⠲⠸⠫⠡⠻,self,1
,22A2,⊢,⠫⠳⠒⠒,ctb,2
,22A3,⊣,⠫⠒⠒⠳,ctb,2
,22A4,⊤,⠫⠣⠒⠒⠳,ctb,1
,22A5,⊥,⠫⠏,ctb,2
,22A6,⊦,⠫⠳⠒,ctb,1
,22A7,⊧,⠫⠳⠶,ctb,1
,22A8,⊨,⠫⠳⠶⠶,ctb,1
,22A9,⊩,⠫⠳⠳⠒,ctb,1
,22AA,⊪,⠫⠳⠳⠳⠒,ctb,1
,22AB,⊫,⠫⠳⠳⠶,ctb,1
,22AC,⊬,⠌⠫⠳⠒,ctb,1
,22AD,⊭,⠌⠫⠳⠶⠶,ctb,1
,22AE,⊮,⠌⠫⠳⠳⠒,ctb,1
,22AF,⊯,⠌⠫⠳⠳⠶,ctb,1
,22B6,⊶,⠫⠨⠡⠒⠒⠡,ctb,1
,22B7,⊷,⠫⠡⠒⠒⠨⠡,ctb,1
,22B8,⊸,⠫⠒⠒⠨⠡,ctb,1
,22BB,⊻,⠐⠈⠬⠩⠱⠻,ctb,1
,22BC,⊼,⠐⠈⠩⠣⠱⠻,ctb,1
,22BD,⊽,⠐⠈⠬⠣⠱⠻,ctb,1
,22BE,⊾,⠫⠪⠨⠗⠻⠸⠫⠫⠁⠻,ctb,1
,22BF,⊿,⠫⠞⠨⠗⠻,umbs,1
\wedge,22C0,⋀,⠈⠩,self,2
\vee,22C1,⋁,⠈⠬,self,2
\cap,22C2,⋂,⠨⠩,self,2
\cup,22C3,⋃,⠨⠬,self,2
.,22C5,⋅,⠨,self,2
\star,22C6,⋆,⠫⠎,self,2
,22CD,⋍,⠠⠱⠱,umbs,1
\#,22D5,⋕,⠨⠼,self,2
,22D6,⋖,⠡⠈⠐⠅⠻,ctb,1
,22D7,⋗,⠡⠈⠨⠂⠻,ctb,1
,22D8,⋘,⠐⠅⠈⠐⠅⠈⠐⠅⠻,umbs,1
,22D9,⋙,⠨⠂⠈⠨⠂⠈⠨⠂⠻,umbs,1
,22DC,⋜,⠱⠐⠅,ctb,1
,22DD,⋝,⠱⠨⠂,ctb,1
,22EE,⋮,⠩⠒⠒⠒,umbs,1
,22EF,⋯,⠒⠒⠒,umbs,1
,22F0,⋰,⠘⠒⠒⠒,umbs,1
,22F1,⋱,⠰⠒⠒⠒,umbs,1
,22F2,⋲,⠱⠈⠈⠑⠻,umbs,1
,22F5,⋵,⠐⠈⠑⠣⠡⠻,ctb,1
,22F6,⋶,⠐⠈⠑⠣⠱⠻,ctb,1
,22FA,⋺,⠱⠈⠈⠢⠻,umbs,1
,22FD,⋽,⠐⠈⠢⠣⠱⠻,ctb,1
,2305,⌅,⠐⠱⠩⠸⠣⠻,ctb,1
,2306,⌆,⠐⠨⠅⠩⠸⠣⠻,ctb,1
\lceil,2308,⌈,⠈⠘⠷,self,1
\rceil,2309,⌉,⠈⠘⠾,self,1
\lfloor,230A,⌊,⠈⠰⠷,self,1
\rfloor,230B,⌋,⠈⠰⠾,self,1
,2312,⌒,⠫⠁,ctb,2
\frown,2322,⌢,⠫⠁,self,2
\smile,2323,⌣,⠫⠄,self,1
,239B,⎛,⠠⠷,ctb,3
,239C,⎜,⠠⠷,ctb,3
,239D,⎝,⠠⠷,ctb,3
,239E,⎞,⠠⠾,ctb,3
,239F,⎟,⠠⠾,ctb,3
,23A0,⎠,⠠⠾,ctb,3
,23A1,⎡,⠈⠠⠷,ctb,3
,23A2,⎢,⠈⠠⠷,ctb,3
,23A3,⎣,⠈⠠⠷,ctb,3
,23A4,⎤,⠈⠠⠾,ctb,3
,23A5,⎥,⠈⠠⠾,ctb,3
,23A6,⎦,⠈⠠⠾,ctb,3
,23A7,⎧,⠨⠠⠷,ctb,3
,23A8,⎨,⠨⠠⠷,ctb,3
,23A9,⎩,⠨⠠⠷,ctb,3
,23AB,⎫,⠨⠠⠾,ctb,3
,23AC,⎬,⠨⠠⠾,ctb,3
,23AD,⎭,⠨⠠⠾,ctb,3
\blacksquare,25A0,■,⠫⠸⠲,self,1
\square,25A1,□,⠫⠲,self,1
,25AC,▬,⠫⠸⠗,umbs,1
,25AD,▭,⠫⠗,umbs,1
,25B2,▲,⠫⠸⠞,umbs,1
\triangle,25B3,△,⠫⠞,self,1
,25BC,▼,⠸⠨⠫,umbs,1
\triangledown,25BD,▽,⠨⠫,self,2
\diamond,25C7,◇,⠫⠙,self,1
,25CB,○,⠫⠉,umbs,1
,25CF,●,⠫⠸⠉,umbs,1
,25EB,◫,⠫⠲⠸⠫⠳⠻,umbs,1
,2606,☆,⠫⠎,self,2
\perp,27C2,⟂,⠫⠏,self,2
,27C3,⟃,⠨⠡⠈⠸⠐⠅⠻,umbs,1
,27C4,⟄,⠨⠡⠈⠸⠨⠂⠻,umbs,1
,27C7,⟇,⠈⠬⠈⠡⠻,ctb,1
,27DC,⟜,⠫⠨⠡⠒⠒,umbs,1
,27DD,⟝,⠫⠳⠒⠒,umbs,2
,27DE,⟞,⠫⠒⠒⠳,umbs,2
,27DF,⟟,⠫⠣⠳⠒⠒⠨⠡,umbs,1
,27E6,⟦,⠈⠸⠷,ctb,1
,27E7,⟧,⠈⠸⠾,ctb,1
,27E8,⟨,⠨⠨⠷,ctb,1
,27E9,⟩,⠨⠨⠾,ctb,1
,27EA,⟪,⠨⠨⠷⠨⠨⠷,ctb,1
,27EB,⟫,⠨⠨⠾⠨⠨⠾,ctb,1
,27EC,⟬,⠈⠈⠸⠷,ctb,1
,27ED,⟭,⠈⠈⠸⠾,ctb,1
,27F5,⟵,⠫⠪⠒⠒⠒,umbs,1
,27F6,⟶,⠫⠒⠒⠒⠕,umbs,1
\leftrightarrow,27F7,⟷,⠫⠪⠒⠒⠕,self,2
,27F8,⟸,⠫⠪⠶⠶⠶,umbs,1
,27F9,⟹,⠫⠶⠶⠶⠕,umbs,1
,27FA,⟺,⠫⠪⠶⠶⠶⠕,umbs,1
,27FB,⟻,⠫⠪⠒⠒⠒⠳,umbs,1
,27FC,⟼,⠫⠳⠒⠒⠒⠕,umbs,1
,27FD,⟽,⠫⠪⠶⠶⠶⠳,umbs,1
,27FE,⟾,⠫⠳⠶⠶⠶⠕,umbs,1
,27FF,⟿,⠫⠢⠤⠔⠒⠢⠤⠔⠒⠢⠕,umbs,1
,2921,⤡,⠫⠘⠪⠒⠒⠕,umbs,1
